Publication_Date,Report_Date,Open_Interest,NonComm_Long,NonComm_Short,Net_Position,Net_Pos_Pct_OI,LevFunds_Long,LevFunds_Short,LevFunds_Net,LevFunds_Net_Pct_OI,Z_Net_OI,Z_dNet_OI,X7_COT_pctl,COT_Signal
2014-04-18,2014-04-15,270722,131353,123776,7577,2.8,92934,48114,44820,16.56,0.78,0.51,75.0,MODERATE SPECULATIVE NET LONG
2014-04-25,2014-04-22,266259,127534,120579,6955,2.61,88509,44544,43965,16.51,0.78,-0.02,75.0,MODERATE SPECULATIVE NET LONG
2014-05-02,2014-04-29,271515,129197,121510,7686,2.83,88206,48473,39733,14.63,0.8,0.05,76.3,MODERATE SPECULATIVE NET LONG
2014-05-09,2014-05-06,277013,136317,120972,15345,5.54,95027,50047,44980,16.24,0.99,0.46,82.7,MODERATE SPECULATIVE NET LONG
2014-05-16,2014-05-13,268142,107800,125246,-17446,-6.51,67940,59727,8213,3.06,0.24,-1.97,55.1,MODERATE SPECULATIVE NET SHORT
2014-05-23,2014-05-20,268199,94299,125566,-31266,-11.66,57288,60999,-3711,-1.38,-0.08,-0.83,50.0,MODERATE SPECULATIVE NET SHORT
2014-05-30,2014-05-27,274051,86065,129717,-43651,-15.93,50359,64444,-14085,-5.14,-0.35,-0.69,39.1,MODERATE SPECULATIVE NET SHORT
2014-06-06,2014-06-03,280747,73044,132468,-59424,-21.17,38195,68036,-29841,-10.63,-0.67,-0.84,28.8,MODERATE SPECULATIVE NET SHORT
2014-06-13,2014-06-10,331636,62275,142974,-80699,-24.33,28211,80460,-52249,-15.75,-0.86,-0.49,23.7,MODERATE SPECULATIVE NET SHORT
2014-06-20,2014-06-17,285489,79430,154865,-75434,-26.42,41530,91462,-49932,-17.49,-0.99,-0.3,18.6,MODERATE SPECULATIVE NET SHORT
2014-06-27,2014-06-24,291244,82543,157601,-75057,-25.77,44148,93738,-49590,-17.03,-0.93,0.14,20.5,MODERATE SPECULATIVE NET SHORT
2014-07-04,2014-07-01,291488,80956,157165,-76209,-26.14,40639,92697,-52058,-17.86,-0.94,-0.03,19.9,MODERATE SPECULATIVE NET SHORT
2014-07-11,2014-07-08,294381,77925,155676,-77751,-26.41,39902,91011,-51109,-17.36,-0.95,-0.01,19.2,MODERATE SPECULATIVE NET SHORT
2014-07-18,2014-07-15,310661,91890,168943,-77053,-24.8,52941,102424,-49483,-15.93,-0.83,0.3,25.0,MODERATE SPECULATIVE NET SHORT
2014-07-25,2014-07-22,339706,96866,193823,-96957,-28.54,58693,125676,-66983,-19.72,-1.06,-0.62,15.4,MODERATE SPECULATIVE NET SHORT
2014-08-01,2014-07-29,356865,98157,209768,-111610,-31.28,61074,143273,-82199,-23.03,-1.23,-0.43,12.8,MODERATE SPECULATIVE NET SHORT
2014-08-08,2014-08-05,379004,94162,228658,-134496,-35.49,58092,163345,-105253,-27.77,-1.48,-0.69,2.6,MODERATE SPECULATIVE NET SHORT
2014-08-15,2014-08-12,376424,89999,223267,-133267,-35.4,54781,159247,-104466,-27.75,-1.45,0.05,3.2,MODERATE SPECULATIVE NET SHORT
2014-08-22,2014-08-19,396460,95336,237631,-142294,-35.89,59429,176719,-117290,-29.58,-1.46,-0.05,2.6,MODERATE SPECULATIVE NET SHORT
2014-08-29,2014-08-26,402709,87425,242520,-155094,-38.51,52160,178320,-126160,-31.33,-1.6,-0.41,1.9,EXTREME SPECULATIVE NET SHORT (Squeeze Risk)
2014-09-05,2014-09-02,419850,96430,256460,-160029,-38.12,61387,188588,-127201,-30.3,-1.55,0.11,2.6,EXTREME SPECULATIVE NET SHORT (Squeeze Risk)
2014-09-12,2014-09-09,484306,106941,254939,-147997,-30.56,67831,186378,-118547,-24.48,-1.06,1.33,17.9,MODERATE SPECULATIVE NET SHORT
2014-09-19,2014-09-16,397652,134254,247307,-113052,-28.43,80424,182280,-101856,-25.61,-0.92,0.39,20.5,MODERATE SPECULATIVE NET SHORT
2014-09-26,2014-09-23,398937,118668,237675,-119006,-29.83,61813,170386,-108573,-27.22,-1.01,-0.26,17.9,MODERATE SPECULATIVE NET SHORT
2014-10-03,2014-09-30,409986,121154,235750,-114595,-27.95,65812,164819,-99007,-24.15,-0.89,0.34,21.8,MODERATE SPECULATIVE NET SHORT
2014-10-10,2014-10-07,425656,111828,237826,-125998,-29.6,60122,166201,-106079,-24.92,-0.99,-0.29,18.6,MODERATE SPECULATIVE NET SHORT
2014-10-17,2014-10-14,434873,109576,247027,-137450,-31.61,56164,176761,-120597,-27.73,-1.11,-0.35,14.1,MODERATE SPECULATIVE NET SHORT
2014-10-24,2014-10-21,439863,109424,249023,-139598,-31.74,58283,182016,-123733,-28.13,-1.11,-0.01,13.5,MODERATE SPECULATIVE NET SHORT
2014-10-31,2014-10-28,441369,105888,254506,-148617,-33.67,54852,186066,-131214,-29.73,-1.22,-0.34,9.6,MODERATE SPECULATIVE NET SHORT
2014-11-07,2014-11-04,465332,108168,267086,-158917,-34.15,55669,194303,-138634,-29.79,-1.24,-0.07,7.7,MODERATE SPECULATIVE NET SHORT
2014-11-14,2014-11-11,463976,107964,249796,-141831,-30.57,54932,184026,-129094,-27.82,-1.01,0.68,19.9,MODERATE SPECULATIVE NET SHORT
2014-11-21,2014-11-18,465168,105661,251556,-145895,-31.36,52016,186132,-134116,-28.83,-1.05,-0.13,17.9,MODERATE SPECULATIVE NET SHORT
2014-11-28,2014-11-25,465339,107273,249007,-141734,-30.46,52559,180788,-128229,-27.56,-0.98,0.18,21.8,MODERATE SPECULATIVE NET SHORT
2014-12-05,2014-12-02,462058,108623,241368,-132744,-28.73,54669,174780,-120111,-25.99,-0.87,0.33,24.4,MODERATE SPECULATIVE NET SHORT
2014-12-12,2014-12-09,477861,115382,219465,-104082,-21.78,62299,149894,-87595,-18.33,-0.45,1.28,41.7,MODERATE SPECULATIVE NET SHORT
2014-12-19,2014-12-16,368171,115924,211172,-95247,-25.87,37772,140458,-102686,-27.89,-0.69,-0.73,32.7,MODERATE SPECULATIVE NET SHORT
2014-12-26,2014-12-23,376849,102636,220476,-117839,-31.27,23487,151153,-127666,-33.88,-1.02,-1.02,18.6,MODERATE SPECULATIVE NET SHORT
2015-01-02,2014-12-30,386295,103617,228080,-124463,-32.22,24362,155817,-131455,-34.03,-1.07,-0.18,12.8,MODERATE SPECULATIVE NET SHORT
2015-01-09,2015-01-06,406624,105936,240710,-134773,-33.14,26680,162045,-135365,-33.29,-1.13,-0.17,12.2,MODERATE SPECULATIVE NET SHORT
2015-01-16,2015-01-13,422426,111165,252541,-141376,-33.47,30839,167542,-136703,-32.36,-1.15,-0.06,10.3,MODERATE SPECULATIVE NET SHORT
2015-01-23,2015-01-20,450262,113380,268973,-155592,-34.56,32373,176807,-144434,-32.08,-1.21,-0.2,6.4,MODERATE SPECULATIVE NET SHORT
2015-01-30,2015-01-27,449726,114503,266991,-152488,-33.91,27853,166533,-138680,-30.84,-1.17,0.12,9.6,MODERATE SPECULATIVE NET SHORT
2015-02-06,2015-02-03,457209,112757,278177,-165419,-36.18,25027,180585,-155558,-34.02,-1.31,-0.42,3.8,MODERATE SPECULATIVE NET SHORT
2015-02-13,2015-02-10,444139,108518,272480,-163961,-36.92,26289,185271,-158982,-35.8,-1.35,-0.13,3.2,MODERATE SPECULATIVE NET SHORT
2015-02-20,2015-02-17,438411,107598,261741,-154142,-35.16,27173,179139,-151966,-34.66,-1.24,0.33,7.7,MODERATE SPECULATIVE NET SHORT
2015-02-27,2015-02-24,431217,108616,254116,-145499,-33.74,26742,176724,-149982,-34.78,-1.15,0.27,10.9,MODERATE SPECULATIVE NET SHORT
2015-03-06,2015-03-03,440733,110615,251308,-140692,-31.92,27440,172579,-145139,-32.93,-1.04,0.35,15.4,MODERATE SPECULATIVE NET SHORT
2015-03-13,2015-03-10,496465,129966,263608,-133641,-26.92,44633,173805,-129172,-26.02,-0.74,0.95,30.1,MODERATE SPECULATIVE NET SHORT
2015-03-20,2015-03-17,449508,172188,275807,-103618,-23.05,28948,173161,-144213,-32.08,-0.51,0.73,40.4,MODERATE SPECULATIVE NET SHORT
2015-03-27,2015-03-24,460950,163894,291966,-128071,-27.78,20642,190872,-170230,-36.93,-0.8,-0.91,28.2,MODERATE SPECULATIVE NET SHORT
2015-04-03,2015-03-31,459746,154417,290713,-136295,-29.65,21400,182074,-160674,-34.95,-0.92,-0.37,22.4,MODERATE SPECULATIVE NET SHORT
2015-04-10,2015-04-07,441624,153572,277081,-123508,-27.97,15124,169767,-154643,-35.02,-0.82,0.31,26.9,MODERATE SPECULATIVE NET SHORT
2015-04-17,2015-04-14,453518,163271,281479,-118207,-26.06,24209,173013,-148804,-32.81,-0.71,0.35,32.1,MODERATE SPECULATIVE NET SHORT
2015-04-24,2015-04-21,457610,167610,283295,-115685,-25.28,28537,167961,-139424,-30.47,-0.67,0.13,34.6,MODERATE SPECULATIVE NET SHORT
2015-05-01,2015-04-28,456919,175825,270224,-94398,-20.66,33188,157422,-124234,-27.19,-0.4,0.86,46.2,MODERATE SPECULATIVE NET SHORT
2015-05-08,2015-05-05,449254,174512,266529,-92016,-20.48,35663,153966,-118303,-26.33,-0.4,0.01,46.8,MODERATE SPECULATIVE NET SHORT
2015-05-15,2015-05-12,439122,172127,249322,-77195,-17.58,32567,140065,-107498,-24.48,-0.22,0.55,50.0,MODERATE SPECULATIVE NET SHORT
2015-05-22,2015-05-19,428580,167009,234547,-67538,-15.76,26542,129771,-103229,-24.09,-0.12,0.34,51.9,MODERATE SPECULATIVE NET SHORT
2015-05-29,2015-05-26,431927,175836,244085,-68248,-15.8,31548,134616,-103068,-23.86,-0.13,-0.03,51.3,MODERATE SPECULATIVE NET SHORT
2015-06-05,2015-06-02,428403,182404,235130,-52725,-12.31,33142,119478,-86336,-20.15,0.08,0.65,59.6,MODERATE SPECULATIVE NET SHORT
2015-06-12,2015-06-09,436540,185329,213523,-28193,-6.46,33597,106766,-73169,-16.76,0.44,1.1,65.4,MODERATE SPECULATIVE NET SHORT
2015-06-19,2015-06-16,350145,141969,193906,-51936,-14.83,63194,96196,-33002,-9.43,-0.09,-1.64,51.3,MODERATE SPECULATIVE NET SHORT
2015-06-26,2015-06-23,345427,117635,189899,-72263,-20.92,47174,92842,-45668,-13.22,-0.47,-1.18,39.7,MODERATE SPECULATIVE NET SHORT
2015-07-03,2015-06-30,346115,112419,187136,-74717,-21.59,42314,91268,-48954,-14.14,-0.52,-0.13,36.5,MODERATE SPECULATIVE NET SHORT
2015-07-10,2015-07-07,354885,108742,187822,-79079,-22.28,36754,95864,-59110,-16.66,-0.56,-0.13,35.3,MODERATE SPECULATIVE NET SHORT
2015-07-17,2015-07-14,356760,111108,193844,-82736,-23.19,33476,99335,-65859,-18.46,-0.61,-0.18,33.3,MODERATE SPECULATIVE NET SHORT
2015-07-24,2015-07-21,366892,113425,200569,-87143,-23.75,37069,109230,-72161,-19.67,-0.65,-0.11,32.1,MODERATE SPECULATIVE NET SHORT
2015-07-31,2015-07-28,357940,119245,196436,-77190,-21.57,37860,104351,-66491,-18.58,-0.51,0.42,37.8,MODERATE SPECULATIVE NET SHORT
2015-08-07,2015-08-04,367885,121371,205968,-84596,-23.0,40472,114546,-74074,-20.14,-0.6,-0.27,34.6,MODERATE SPECULATIVE NET SHORT
2015-08-14,2015-08-11,361334,120205,200113,-79907,-22.11,39630,111198,-71568,-19.81,-0.54,0.18,36.5,MODERATE SPECULATIVE NET SHORT
2015-08-21,2015-08-18,356952,119335,183074,-63738,-17.86,41471,99699,-58228,-16.31,-0.28,0.82,48.1,MODERATE SPECULATIVE NET SHORT
2015-08-28,2015-08-25,374977,127139,180948,-53808,-14.35,54876,97336,-42460,-11.32,-0.06,0.68,55.1,MODERATE SPECULATIVE NET SHORT
2015-09-04,2015-09-01,363980,113773,170579,-56805,-15.61,46880,87166,-40286,-11.07,-0.13,-0.23,51.9,MODERATE SPECULATIVE NET SHORT
2015-09-11,2015-09-08,383187,119703,182707,-63003,-16.44,48378,98342,-49964,-13.04,-0.18,-0.15,49.4,MODERATE SPECULATIVE NET SHORT
2015-09-18,2015-09-15,311366,101738,175959,-74221,-23.84,33665,93306,-59641,-19.15,-0.63,-1.41,32.1,MODERATE SPECULATIVE NET SHORT
2015-09-25,2015-09-22,315450,106548,171900,-65351,-20.72,34018,90489,-56471,-17.9,-0.44,0.64,42.3,MODERATE SPECULATIVE NET SHORT
2015-10-02,2015-09-29,322721,111957,179706,-67748,-20.99,35818,93775,-57957,-17.96,-0.46,-0.06,41.0,MODERATE SPECULATIVE NET SHORT
2015-10-09,2015-10-06,337606,122683,186428,-63744,-18.88,39560,101991,-62431,-18.49,-0.33,0.44,46.8,MODERATE SPECULATIVE NET SHORT
2015-10-16,2015-10-13,349720,130595,182631,-52035,-14.88,41637,101741,-60104,-17.19,-0.08,0.83,53.2,MODERATE SPECULATIVE NET SHORT
2015-10-23,2015-10-20,357133,135325,166723,-31397,-8.79,41222,89838,-48616,-13.61,0.29,1.27,64.1,MODERATE SPECULATIVE NET SHORT
2015-10-30,2015-10-27,380564,143338,202144,-58805,-15.45,43343,126389,-83046,-21.82,-0.12,-1.4,51.9,MODERATE SPECULATIVE NET SHORT
2015-11-06,2015-11-03,405462,149927,231807,-81880,-20.19,38820,157029,-118209,-29.15,-0.42,-0.99,44.2,MODERATE SPECULATIVE NET SHORT
2015-11-13,2015-11-10,421967,160732,245544,-84811,-20.1,43341,173423,-130082,-30.83,-0.42,0.02,44.2,MODERATE SPECULATIVE NET SHORT
2015-11-20,2015-11-17,436801,154855,262790,-107934,-24.71,44106,185168,-141062,-32.29,-0.71,-0.97,29.5,MODERATE SPECULATIVE NET SHORT
2015-11-27,2015-11-24,444626,147841,270135,-122293,-27.5,41300,193182,-151882,-34.16,-0.89,-0.59,22.4,MODERATE SPECULATIVE NET SHORT
2015-12-04,2015-12-01,462447,151016,279655,-128638,-27.82,40995,197721,-156726,-33.89,-0.91,-0.07,21.2,MODERATE SPECULATIVE NET SHORT
2015-12-11,2015-12-08,474921,143500,267744,-124243,-26.16,42876,182251,-139375,-29.35,-0.8,0.37,25.0,MODERATE SPECULATIVE NET SHORT
2015-12-18,2015-12-15,404837,115358,245074,-129715,-32.04,37709,164104,-126395,-31.22,-1.16,-1.23,10.3,MODERATE SPECULATIVE NET SHORT
2015-12-25,2015-12-22,406533,116684,248427,-131742,-32.41,38680,168264,-129584,-31.88,-1.17,-0.04,9.6,MODERATE SPECULATIVE NET SHORT
2016-01-01,2015-12-29,400497,110738,243970,-133231,-33.27,35015,166364,-131349,-32.8,-1.2,-0.14,9.0,MODERATE SPECULATIVE NET SHORT
2016-01-08,2016-01-05,407105,111484,242304,-130819,-32.13,38376,161853,-123477,-30.33,-1.12,0.29,11.5,MODERATE SPECULATIVE NET SHORT
2016-01-15,2016-01-12,398570,106500,229069,-122568,-30.75,36831,146209,-109378,-27.44,-1.02,0.33,16.7,MODERATE SPECULATIVE NET SHORT
2016-01-22,2016-01-19,400362,112568,220349,-107780,-26.92,42777,138771,-95994,-23.98,-0.77,0.87,26.9,MODERATE SPECULATIVE NET SHORT
2016-01-29,2016-01-26,402227,114584,213467,-98882,-24.58,41806,130781,-88975,-22.12,-0.61,0.56,34.6,MODERATE SPECULATIVE NET SHORT
2016-02-05,2016-02-02,403939,139835,197678,-57842,-14.32,44996,119549,-74553,-18.46,0.04,2.28,61.5,MODERATE SPECULATIVE NET SHORT
2016-02-12,2016-02-09,441228,155517,191425,-35907,-8.14,56296,118095,-61799,-14.01,0.44,1.37,69.9,MODERATE SPECULATIVE NET SHORT
2016-02-19,2016-02-16,429997,154234,175045,-20810,-4.84,57265,98372,-41107,-9.56,0.66,0.73,73.1,MODERATE SPECULATIVE NET SHORT
2016-02-26,2016-02-23,422624,134248,166272,-32023,-7.58,55047,90947,-35900,-8.49,0.49,-0.57,70.5,MODERATE SPECULATIVE NET SHORT
2016-03-04,2016-03-01,417624,130456,182960,-52503,-12.57,55422,107037,-51615,-12.36,0.18,-1.07,65.4,MODERATE SPECULATIVE NET SHORT
2016-03-11,2016-03-08,433221,132099,190050,-57950,-13.38,51645,113572,-61927,-14.29,0.12,-0.17,63.5,MODERATE SPECULATIVE NET SHORT
2016-03-18,2016-03-15,322405,89609,185473,-95864,-29.73,31348,106061,-74713,-23.17,-0.92,-3.57,19.9,MODERATE SPECULATIVE NET SHORT
2016-03-25,2016-03-22,324310,92347,179729,-87381,-26.94,34559,103365,-68806,-21.22,-0.74,0.6,26.9,MODERATE SPECULATIVE NET SHORT
2016-04-01,2016-03-29,330090,96659,180329,-83669,-25.35,40268,103385,-63117,-19.12,-0.63,0.34,34.0,MODERATE SPECULATIVE NET SHORT
2016-04-08,2016-04-05,338533,101733,171992,-70258,-20.75,44989,99328,-54339,-16.05,-0.34,0.97,46.8,MODERATE SPECULATIVE NET SHORT
2016-04-15,2016-04-12,333535,99716,162553,-62837,-18.84,42407,89897,-47490,-14.24,-0.22,0.4,51.3,MODERATE SPECULATIVE NET SHORT
2016-04-22,2016-04-19,345563,108356,170376,-62019,-17.95,48596,99473,-50877,-14.72,-0.16,0.2,51.9,MODERATE SPECULATIVE NET SHORT
2016-04-29,2016-04-26,340200,107776,161115,-53339,-15.68,47618,90830,-43212,-12.7,-0.01,0.49,57.7,MODERATE SPECULATIVE NET SHORT
2016-05-06,2016-05-03,360461,116285,157637,-41351,-11.47,51355,89978,-38623,-10.71,0.26,0.9,67.9,MODERATE SPECULATIVE NET SHORT
2016-05-13,2016-05-10,344978,106569,143056,-36486,-10.58,43026,74363,-31337,-9.08,0.31,0.19,68.6,MODERATE SPECULATIVE NET SHORT
2016-05-20,2016-05-17,349559,110955,141610,-30654,-8.77,48634,71176,-22542,-6.45,0.43,0.38,69.9,MODERATE SPECULATIVE NET SHORT
2016-05-27,2016-05-24,350242,106554,165667,-59112,-16.88,44138,92972,-48834,-13.94,-0.09,-1.77,53.8,MODERATE SPECULATIVE NET SHORT
2016-06-03,2016-05-31,356178,108289,182370,-74080,-20.8,47103,108677,-61574,-17.29,-0.35,-0.84,45.5,MODERATE SPECULATIVE NET SHORT
2016-06-10,2016-06-07,386010,104093,174928,-70834,-18.35,40588,104671,-64083,-16.6,-0.19,0.54,51.3,MODERATE SPECULATIVE NET SHORT
2016-06-17,2016-06-14,325402,85502,185422,-99919,-30.71,34745,104819,-70074,-21.53,-0.97,-2.74,17.3,MODERATE SPECULATIVE NET SHORT
2016-06-24,2016-06-21,317400,68855,177063,-108207,-34.09,20771,99392,-78621,-24.77,-1.17,-0.69,6.4,MODERATE SPECULATIVE NET SHORT
2016-07-01,2016-06-28,337273,93174,195180,-102005,-30.24,49126,107937,-58811,-17.44,-0.91,0.9,20.5,MODERATE SPECULATIVE NET SHORT
2016-07-08,2016-07-05,362649,96432,215707,-119274,-32.89,50547,125202,-74655,-20.59,-1.07,-0.57,10.9,MODERATE SPECULATIVE NET SHORT
2016-07-15,2016-07-12,370372,90511,221222,-130710,-35.29,44389,136261,-91872,-24.81,-1.22,-0.52,4.5,MODERATE SPECULATIVE NET SHORT
2016-07-22,2016-07-19,388905,96683,236945,-140261,-36.07,47774,152822,-105048,-27.01,-1.25,-0.15,2.6,MODERATE SPECULATIVE NET SHORT
2016-07-29,2016-07-26,400035,94184,247284,-153099,-38.27,45408,157311,-111903,-27.97,-1.38,-0.47,0.6,MODERATE SPECULATIVE NET SHORT
2016-08-05,2016-08-02,378500,84788,229441,-144652,-38.22,34783,143066,-108283,-28.61,-1.35,0.06,1.3,MODERATE SPECULATIVE NET SHORT
2016-08-12,2016-08-09,368693,79083,219537,-140453,-38.09,30468,134266,-103798,-28.15,-1.33,0.08,2.6,MODERATE SPECULATIVE NET SHORT
2016-08-19,2016-08-16,366037,83328,216562,-133233,-36.4,33869,132494,-98625,-26.94,-1.2,0.45,3.8,MODERATE SPECULATIVE NET SHORT
2016-08-26,2016-08-23,364044,87259,201972,-114712,-31.51,37197,120293,-83096,-22.83,-0.88,1.21,19.9,MODERATE SPECULATIVE NET SHORT
2016-09-02,2016-08-30,364843,89263,207926,-118663,-32.52,40910,123907,-82997,-22.75,-0.94,-0.17,15.4,MODERATE SPECULATIVE NET SHORT
2016-09-09,2016-09-06,375985,78180,203667,-125486,-33.38,32909,120521,-87612,-23.3,-0.98,-0.14,13.5,MODERATE SPECULATIVE NET SHORT
2016-09-16,2016-09-13,379624,74442,189670,-115227,-30.35,29045,111600,-82555,-21.75,-0.77,0.77,26.9,MODERATE SPECULATIVE NET SHORT
2016-09-23,2016-09-20,324525,76960,186155,-109195,-33.65,29136,111313,-82177,-25.32,-0.98,-0.73,12.8,MODERATE SPECULATIVE NET SHORT
2016-09-30,2016-09-27,328490,78792,184874,-106081,-32.29,27769,107429,-79660,-24.25,-0.88,0.43,17.9,MODERATE SPECULATIVE NET SHORT
2016-10-07,2016-10-04,347643,81601,195788,-114186,-32.85,31968,120181,-88213,-25.37,-0.92,-0.05,16.7,MODERATE SPECULATIVE NET SHORT
2016-10-14,2016-10-11,378774,86517,219545,-133027,-35.12,33435,142631,-109196,-28.83,-1.08,-0.47,9.0,MODERATE SPECULATIVE NET SHORT
2016-10-21,2016-10-18,413183,90332,253434,-163102,-39.47,36224,175376,-139152,-33.68,-1.39,-0.98,0.0,MODERATE SPECULATIVE NET SHORT
2016-10-28,2016-10-25,448471,102829,283964,-181135,-40.39,52746,205053,-152307,-33.96,-1.47,-0.12,0.0,MODERATE SPECULATIVE NET SHORT
2016-11-04,2016-11-01,444502,93526,279069,-185542,-41.74,43948,201538,-157590,-35.45,-1.59,-0.23,0.0,EXTREME SPECULATIVE NET SHORT (Squeeze Risk)
2016-11-11,2016-11-08,418007,91440,247046,-155606,-37.23,39714,174612,-134898,-32.27,-1.24,1.23,5.1,MODERATE SPECULATIVE NET SHORT
2016-11-18,2016-11-15,415752,95494,243498,-148003,-35.6,39876,169235,-129359,-31.11,-1.1,0.49,9.0,MODERATE SPECULATIVE NET SHORT
2016-11-25,2016-11-22,434768,102795,261526,-158730,-36.51,45054,180975,-135921,-31.26,-1.16,-0.16,6.4,MODERATE SPECULATIVE NET SHORT
2016-12-02,2016-11-29,447190,101261,272383,-171121,-38.27,43426,199792,-156366,-34.97,-1.29,-0.39,3.2,MODERATE SPECULATIVE NET SHORT
2016-12-09,2016-12-06,433237,103643,247973,-144329,-33.31,44906,171370,-126464,-29.19,-0.88,1.34,19.9,MODERATE SPECULATIVE NET SHORT
2016-12-16,2016-12-13,447679,100847,227501,-126653,-28.29,37839,155164,-117325,-26.21,-0.47,1.34,40.4,MODERATE SPECULATIVE NET SHORT
2016-12-23,2016-12-20,399589,100687,215535,-114847,-28.74,37089,142018,-104929,-26.26,-0.49,-0.06,38.5,MODERATE SPECULATIVE NET SHORT
2016-12-30,2016-12-27,405681,103348,221821,-118472,-29.2,40745,145933,-105188,-25.93,-0.52,-0.06,38.5,MODERATE SPECULATIVE NET SHORT
2017-01-06,2017-01-03,416239,103877,230620,-126743,-30.45,39085,156312,-117227,-28.16,-0.62,-0.26,34.6,MODERATE SPECULATIVE NET SHORT
2017-01-13,2017-01-10,415212,111253,229070,-117816,-28.38,40658,156379,-115721,-27.87,-0.43,0.58,42.3,MODERATE SPECULATIVE NET SHORT
2017-01-20,2017-01-17,415090,116837,219619,-102782,-24.76,40110,151134,-111024,-26.75,-0.11,0.97,55.1,MODERATE SPECULATIVE NET SHORT
2017-01-27,2017-01-24,414447,120306,204944,-84637,-20.42,39640,138292,-98652,-23.8,0.29,1.14,69.2,MODERATE SPECULATIVE NET SHORT
2017-02-03,2017-01-31,405541,117945,192318,-74372,-18.34,45287,129247,-83960,-20.7,0.49,0.56,73.1,MODERATE SPECULATIVE NET SHORT
2017-02-10,2017-02-07,409178,118446,194112,-75665,-18.49,42430,129012,-86582,-21.16,0.48,-0.03,72.4,MODERATE SPECULATIVE NET SHORT
2017-02-17,2017-02-14,406350,119294,200882,-81588,-20.08,42453,132489,-90036,-22.16,0.34,-0.41,71.2,MODERATE SPECULATIVE NET SHORT
2017-02-24,2017-02-21,417129,120769,216576,-95807,-22.97,41682,145281,-103599,-24.84,0.09,-0.75,60.9,MODERATE SPECULATIVE NET SHORT
2017-03-03,2017-02-28,431635,130860,213379,-82518,-19.12,47426,139282,-91856,-21.28,0.45,1.06,72.4,MODERATE SPECULATIVE NET SHORT
2017-03-10,2017-03-07,435309,125656,216473,-90816,-20.86,40433,141023,-100590,-23.11,0.31,-0.43,66.7,MODERATE SPECULATIVE NET SHORT
2017-03-17,2017-03-14,381474,109172,223564,-114391,-29.99,43640,131374,-87734,-23.0,-0.53,-2.4,36.5,MODERATE SPECULATIVE NET SHORT
2017-03-24,2017-03-21,406717,121826,215830,-94004,-23.11,52933,121836,-68903,-16.94,0.15,1.89,60.3,MODERATE SPECULATIVE NET SHORT
2017-03-31,2017-03-28,408853,124109,202792,-78682,-19.24,55749,115668,-59919,-14.66,0.56,1.06,74.4,MODERATE SPECULATIVE NET SHORT
2017-04-07,2017-04-04,397594,117130,203270,-86139,-21.67,50153,117506,-67353,-16.94,0.34,-0.6,64.7,MODERATE SPECULATIVE NET SHORT
2017-04-14,2017-04-11,420332,118296,230308,-112011,-26.65,48657,136804,-88147,-20.97,-0.17,-1.27,49.4,MODERATE SPECULATIVE NET SHORT
2017-04-21,2017-04-18,430589,124126,247538,-123411,-28.66,54348,150668,-96320,-22.37,-0.37,-0.48,41.7,MODERATE SPECULATIVE NET SHORT
2017-04-28,2017-04-25,411006,120614,224224,-103609,-25.21,50343,131648,-81305,-19.78,0.03,0.96,56.4,MODERATE SPECULATIVE NET SHORT
2017-05-05,2017-05-02,409936,123566,196794,-73228,-17.86,52095,105099,-53004,-12.93,0.91,1.96,82.7,MODERATE SPECULATIVE NET SHORT
2017-05-12,2017-05-09,418301,118667,187787,-69119,-16.52,49908,100749,-50841,-12.15,1.13,0.38,84.6,MODERATE SPECULATIVE NET SHORT
2017-05-19,2017-05-16,431659,128112,179714,-51601,-11.95,55162,88600,-33438,-7.75,1.72,1.23,94.2,MODERATE SPECULATIVE NET SHORT
2017-05-26,2017-05-23,449360,141611,170741,-29129,-6.48,69482,74824,-5342,-1.19,2.39,1.46,98.7,MODERATE SPECULATIVE NET SHORT
2017-06-02,2017-05-30,453280,142173,165670,-23496,-5.18,71490,65844,5646,1.25,2.51,0.33,99.4,MODERATE SPECULATIVE NET SHORT
2017-06-09,2017-06-06,447178,135235,153739,-18503,-4.14,64699,54589,10110,2.26,2.58,0.25,100.0,MODERATE SPECULATIVE NET SHORT
2017-06-16,2017-06-13,474300,131554,150583,-19028,-4.01,61696,51695,10001,2.11,2.52,0.0,100.0,MODERATE SPECULATIVE NET SHORT
2017-06-23,2017-06-20,379269,129354,185688,-56333,-14.85,59455,74430,-14975,-3.95,1.22,-2.95,87.8,MODERATE SPECULATIVE NET SHORT
2017-06-30,2017-06-27,400560,139288,189070,-49781,-12.43,66956,75103,-8147,-2.03,1.48,0.61,91.0,MODERATE SPECULATIVE NET SHORT
2017-07-06,2017-07-03,422496,142902,177822,-34920,-8.27,68317,74930,-6613,-1.57,1.93,1.06,94.9,MODERATE SPECULATIVE NET SHORT
2017-07-14,2017-07-11,436899,146985,172289,-25303,-5.79,72673,72383,290,0.07,2.17,0.61,97.4,MODERATE SPECULATIVE NET SHORT
2017-07-21,2017-07-18,446259,152073,173447,-21373,-4.79,77654,71195,6459,1.45,2.24,0.23,98.7,MODERATE SPECULATIVE NET SHORT
2017-07-28,2017-07-25,449086,142877,168404,-25526,-5.68,68288,67936,352,0.08,2.09,-0.27,96.8,MODERATE SPECULATIVE NET SHORT
